lr,rv,,,,,,,,,,,,,,,,,,,,,
0.094886237,0.186280067,,,,,,,,,,,,,,,,,,,,,
-0.41982438,0.147142543,,,,,,,,,,,,,,,,,,,,,
-0.736127607,0.197865875,,,,,,,,,,,,,,,,,,,,,
-0.125485707,0.111063302,,,,,,,,,,,,,,,,,,,,,
-0.102925048,0.015799134,,,,,,,,,,,,,,,,,,,,,
-0.133354569,0.062019304,,,,,,,,,,,,,,,,,,,,,
-0.132014222,0.151393727,,,,,,,,,,,,,,,,,,,,,
0.210078534,0.101255883,,,,,,,,,,,,,,,,,,,,,
-0.609456797,0.233113593,,,,,,,,,,,,,,,,,,,,,
0.435813389,0.284742157,,,,,,,,,,,,,,,,,,,,,
-0.033398359,0.026880993,,,,,,,,,,,,,,,,,,,,,
0.631914831,0.122489457,,,,,,,,,,,,,,,,,,,,,
0.088225652,0.107621131,,,,,,,,,,,,,,,,,,,,,
0.347619684,0.138575372,,,,,,,,,,,,,,,,,,,,,
-0.114235051,0.134294044,,,,,,,,,,,,,,,,,,,,,
-0.039862662,0.149346532,,,,,,,,,,,,,,,,,,,,,
0.490781957,0.357362614,,,,,,,,,,,,,,,,,,,,,
-0.172324702,0.092242689,,,,,,,,,,,,,,,,,,,,,
0.158849127,0.073217851,,,,,,,,,,,,,,,,,,,,,
1.242566266,0.544739108,,,,,,,,,,,,,,,,,,,,,
0.072439668,0.183728038,,,,,,,,,,,,,,,,,,,,,
-0.094625571,0.148250472,,,,,,,,,,,,,,,,,,,,,
0.094625571,0.060865131,,,,,,,,,,,,,,,,,,,,,
-0.272290216,0.162125678,,,,,,,,,,,,,,,,,,,,,
-0.174269687,0.105417846,,,,,,,,,,,,,,,,,,,,,
0.327524153,0.089843869,,,,,,,,,,,,,,,,,,,,,
-0.221443024,0.113302231,,,,,,,,,,,,,,,,,,,,,
0.253988607,0.101451836,,,,,,,,,,,,,,,,,,,,,
-0.202101779,0.055231374,,,,,,,,,,,,,,,,,,,,,
0.216152279,0.105780802,,,,,,,,,,,,,,,,,,,,,
-0.007394754,0.164983749,,,,,,,,,,,,,,,,,,,,,
0.495715153,0.193185324,,,,,,,,,,,,,,,,,,,,,
0.242534827,0.187343449,,,,,,,,,,,,,,,,,,,,,
-0.484921682,0.110713885,,,,,,,,,,,,,,,,,,,,,
0.085528698,0.007215286,,,,,,,,,,,,,,,,,,,,,
0.090610077,0.087458777,,,,,,,,,,,,,,,,,,,,,
0.133923007,0.10114501,,,,,,,,,,,,,,,,,,,,,
-0.592974567,0.150188055,,,,,,,,,,,,,,,,,,,,,
0.057681643,0.116686237,,,,,,,,,,,,,,,,,,,,,
0.104924826,0.110124495,,,,,,,,,,,,,,,,,,,,,
0.107028063,0.031201809,,,,,,,,,,,,,,,,,,,,,
0.010327683,0.072899163,,,,,,,,,,,,,,,,,,,,,
-0.265908492,0.175234012,,,,,,,,,,,,,,,,,,,,,
0.008135463,0.410438887,,,,,,,,,,,,,,,,,,,,,
1.078356006,0.210549436,,,,,,,,,,,,,,,,,,,,,
0.118453104,0.080847887,,,,,,,,,,,,,,,,,,,,,
-0.024117959,0.004072832,,,,,,,,,,,,,,,,,,,,,
-0.065805831,1.573225703,,,,,,,,,,,,,,,,,,,,,
0.772311509,0.268463504,,,,,,,,,,,,,,,,,,,,,
0.002903116,0.089001333,,,,,,,,,,,,,,,,,,,,,
0.168236673,0.160542527,,,,,,,,,,,,,,,,,,,,,
-0.023188238,0.1333156,,,,,,,,,,,,,,,,,,,,,
0.043473536,0.00505255,,,,,,,,,,,,,,,,,,,,,
-0.119597731,0.0799689,,,,,,,,,,,,,,,,,,,,,
-0.329815123,0.16587497,,,,,,,,,,,,,,,,,,,,,
-0.139080562,0.138788731,,,,,,,,,,,,,,,,,,,,,
-1.058521009,0.201838142,,,,,,,,,,,,,,,,,,,,,
-0.696135653,0.158702024,,,,,,,,,,,,,,,,,,,,,
0.054120378,0.004614339,,,,,,,,,,,,,,,,,,,,,
0.171804807,0.172159405,,,,,,,,,,,,,,,,,,,,,
-0.321634237,0.13152581,,,,,,,,,,,,,,,,,,,,,
0.33791076,0.165982613,,,,,,,,,,,,,,,,,,,,,
-0.808139226,1.397319819,,,,,,,,,,,,,,,,,,,,,
-0.327936499,0.325386233,,,,,,,,,,,,,,,,,,,,,
-0.137769946,0.007904665,,,,,,,,,,,,,,,,,,,,,
0.456756632,0.082845743,,,,,,,,,,,,,,,,,,,,,
0.223505401,0.228639517,,,,,,,,,,,,,,,,,,,,,
0.346190765,0.234155397,,,,,,,,,,,,,,,,,,,,,
-0.283698668,0.191521669,,,,,,,,,,,,,,,,,,,,,
0.356350461,0.112661914,,,,,,,,,,,,,,,,,,,,,
-0.087485178,0.005366414,,,,,,,,,,,,,,,,,,,,,
0.145272374,0.103469094,,,,,,,,,,,,,,,,,,,,,
0.460362082,0.260941744,,,,,,,,,,,,,,,,,,,,,
-0.991332181,0.429475335,,,,,,,,,,,,,,,,,,,,,
0.303332426,0.298374399,,,,,,,,,,,,,,,,,,,,,
0.630478053,0.114201098,,,,,,,,,,,,,,,,,,,,,
-0.036890296,0.007150975,,,,,,,,,,,,,,,,,,,,,
-0.131440025,0.11823913,,,,,,,,,,,,,,,,,,,,,
0.245755674,0.157992043,,,,,,,,,,,,,,,,,,,,,
0.047163208,0.136608474,,,,,,,,,,,,,,,,,,,,,
0.218576105,0.096068081,,,,,,,,,,,,,,,,,,,,,
-0.101501197,0.104958655,,,,,,,,,,,,,,,,,,,,,
-0.030912129,0.007947876,,,,,,,,,,,,,,,,,,,,,
-0.317032256,0.162071116,,,,,,,,,,,,,,,,,,,,,
0.367811423,0.098228635,,,,,,,,,,,,,,,,,,,,,
-0.048570841,0.133343033,,,,,,,,,,,,,,,,,,,,,
0.613494355,0.326863352,,,,,,,,,,,,,,,,,,,,,
0.255732191,0.207561915,,,,,,,,,,,,,,,,,,,,,
0.020430351,0.009517428,,,,,,,,,,,,,,,,,,,,,
0.222274947,0.062947288,,,,,,,,,,,,,,,,,,,,,
0.197809615,0.105232788,,,,,,,,,,,,,,,,,,,,,
0.15027717,0.144514099,,,,,,,,,,,,,,,,,,,,,
-0.256405741,0.161385102,,,,,,,,,,,,,,,,,,,,,
-0.077850742,0.110706251,,,,,,,,,,,,,,,,,,,,,
-0.008734705,0.008007466,,,,,,,,,,,,,,,,,,,,,
0.165829074,0.109412013,,,,,,,,,,,,,,,,,,,,,
0.063204469,0.117934728,,,,,,,,,,,,,,,,,,,,,
-0.63165697,0.569417548,,,,,,,,,,,,,,,,,,,,,
-0.196795013,0.158264544,,,,,,,,,,,,,,,,,,,,,
0.107590245,0.141556474,,,,,,,,,,,,,,,,,,,,,
0.053386184,0.001743488,,,,,,,,,,,,,,,,,,,,,
0.142467339,0.073675987,,,,,,,,,,,,,,,,,,,,,
-0.183418578,0.064279921,,,,,,,,,,,,,,,,,,,,,
-0.021945064,0.025208147,,,,,,,,,,,,,,,,,,,,,
0.187109938,0.04907515,,,,,,,,,,,,,,,,,,,,,
0.386266887,0.361011455,,,,,,,,,,,,,,,,,,,,,
0.026910167,0.012280926,,,,,,,,,,,,,,,,,,,,,
0.41220114,0.136255433,,,,,,,,,,,,,,,,,,,,,
-0.487131214,0.176991717,,,,,,,,,,,,,,,,,,,,,
0.176686841,0.025037954,,,,,,,,,,,,,,,,,,,,,
-0.729115973,0.240329289,,,,,,,,,,,,,,,,,,,,,
-0.571688032,0.149441806,,,,,,,,,,,,,,,,,,,,,
0.059596292,0.008217588,,,,,,,,,,,,,,,,,,,,,
0.250504261,0.14229017,,,,,,,,,,,,,,,,,,,,,
-0.092488611,0.142772627,,,,,,,,,,,,,,,,,,,,,
